City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Lithakia,GR,2021-09-02 14:56:22,37.7167,20.8333,85.37,58,0,18.75
121,Lake Havasu City,US,2021-09-02 14:52:26,34.4839,-114.3224,84.24,54,1,1.99
122,Ribeira Grande,PT,2021-09-02 14:56:25,38.5167,-28.7,72.0,88,75,21.85
123,Cockburn Town,TC,2021-09-02 14:56:26,21.4612,-71.1419,81.88,78,100,13.29
124,Vila Velha,BR,2021-09-02 14:56:28,-20.3297,-40.2925,71.55,88,90,6.91
125,Harrisburg,US,2021-09-02 14:52:55,40.2737,-76.8844,71.74,55,1,3.0
126,Cabo San Lucas,MX,2021-09-02 14:56:30,22.8909,-109.9124,82.51,72,37,1.01
127,Akdepe,TM,2021-09-02 14:56:32,42.0551,59.3788,89.69,13,0,9.19
128,Pop,UZ,2021-09-02 14:56:33,40.8736,71.1089,79.29,15,0,6.89
129,Port-Gentil,GA,2021-09-02 14:56:34,-0.7193,8.7815,82.36,65,40,13.8
130,San Jeronimo,PE,2021-09-02 14:56:36,-11.9472,-75.2829,57.58,46,76,1.34
131,Capiibary,PY,2021-09-02 14:56:40,-24.8,-56.0333,90.36,20,71,10.02
132,Maceio,BR,2021-09-02 14:56:42,-9.6658,-35.7353,80.04,65,75,9.22
133,Namibe,AO,2021-09-02 14:56:44,-15.1961,12.1522,65.88,77,42,14.14
134,Pangnirtung,CA,2021-09-02 14:56:46,66.1451,-65.7125,42.8,81,20,5.75
135,Raga,SS,2021-09-02 14:56:48,8.4596,25.678,80.04,66,77,6.4
136,Shelburne,CA,2021-09-02 14:56:49,44.0787,-80.2041,63.12,45,0,11.72
137,Bengkulu,ID,2021-09-02 14:56:51,-3.8004,102.2655,74.57,92,100,6.51
138,Ust-Nera,RU,2021-09-02 14:56:51,64.5667,143.2,50.56,59,63,6.13
139,Farafangana,MG,2021-09-02 14:56:53,-22.8167,47.8333,71.33,78,0,9.48
140,Nome,US,2021-09-02 14:56:55,64.5011,-165.4064,46.17,94,65,7.54
141,Olinda,BR,2021-09-02 14:56:57,-8.0089,-34.8553,80.33,61,40,13.8
142,Kavieng,PG,2021-09-02 14:56:59,-2.5744,150.7967,83.05,74,100,15.77
143,Doka,SD,2021-09-02 14:57:01,13.5167,35.7667,79.16,80,97,8.28
144,Carlsbad,US,2021-09-02 14:57:03,33.1581,-117.3506,70.83,84,75,1.01
145,Lorengau,PG,2021-09-02 14:57:04,-2.0226,147.2712,82.44,73,89,7.52
146,Codrington,AU,2021-09-02 14:57:05,-38.2667,141.9667,55.63,90,100,5.55
147,Mocuba,MZ,2021-09-02 14:57:06,-16.8392,36.9856,78.3,62,93,5.75
148,Deputatskiy,RU,2021-09-02 14:57:08,69.3,139.9,42.6,87,100,3.62
149,Solginskiy,RU,2021-09-02 14:57:10,61.05,41.3428,46.31,87,89,7.81
150,Gravdal,NO,2021-09-02 14:57:12,68.1214,13.5031,48.31,68,96,18.86
151,Coquimbo,CL,2021-09-02 14:57:14,-29.9533,-71.3436,55.13,82,75,5.75
152,Pangody,RU,2021-09-02 14:57:16,65.85,74.4859,49.62,75,100,21.81
153,Beya,RU,2021-09-02 14:57:18,53.0533,90.9139,50.05,74,47,2.33
154,Yelizovo,RU,2021-09-02 14:57:20,53.1873,158.3805,50.14,100,75,4.47
155,Cayenne,GF,2021-09-02 14:57:22,4.9333,-52.3333,86.04,70,75,4.61
156,Mkuranga,TZ,2021-09-02 14:57:24,-7.118,39.2078,81.59,66,85,10.29
157,Ormara,PK,2021-09-02 14:57:26,25.2088,64.6357,81.0,87,49,16.93
158,Carros,FR,2021-09-02 14:57:26,43.7894,7.184,73.72,68,75,4.61
159,Mar Del Plata,AR,2021-09-02 14:57:28,-38.0023,-57.5575,53.62,87,75,11.5
160,Forestville,US,2021-09-02 14:57:30,38.8451,-76.875,73.2,56,1,3.0
161,Vardo,NO,2021-09-02 14:57:31,70.3705,31.1107,44.8,91,100,31.32
162,Cherskiy,RU,2021-09-02 14:57:33,68.75,161.3,33.3,81,28,6.76
